# known-stranded.tsv — the acknowledged-stranded allowlist consulted by /aftermath (skills/aftermath/SKILL.md Class 1).
#
# Each DATA row is one remote ref that permanently fails the tip-reachable + PR-merged deletion gate
# because its content landed under a REWRITTEN SHA (the original ref is stranded, not un-landed).
# A candidate matching a row by EXACT refs/heads/<ref> name (never substring) routes to the
# acknowledged-stranded report bucket: printed for the record, excluded from needs-human, and never
# added to any delete list. An allowlist row is an ACKNOWLEDGEMENT, never a deletion license — the
# deletion gate is byte-untouched, and clearing a stranded ref stays a deliberate manual
# `git push origin --delete <ref>` outside aftermath's gates (ADR 0027).
#
# Schema (TAB-separated, exactly three columns). Blank lines and lines beginning with `#` are ignored.
#   remote_ref  short ref with no refs/heads/ prefix, e.g. war/pipelineskills/p1-task1
#   landed_pr   the merged PR whose SHA superseded this ref, e.g. #473 — OR `-` for a genuinely
#               PR-less stranded ref (e.g. a claude/* session remote), which then REQUIRES a note.
#   note        free text; MANDATORY when landed_pr is `-`, documenting the PR-less reason.
#
# Invariant for adding a row: landed_pr populated OR (landed_pr `-` AND a note documenting the
# PR-less reason). Never a blank justification.
#
# Seed (2026-07-09): empty. The stranded set recorded in
# docs/learnings/aftermath-2026-07-03-stranded-remote-set.md (the pipelineskills / memsub /
# compaction / followup444 families + two claude/* session remotes) was resolved against
# `git ls-remote origin` at land time and returned zero live refs — all 26 recorded refs had been
# manually cleared from origin after recording. The committed file + the Class-1 consultation
# mechanism are the deliverable, not a non-empty row count. Reference row shapes, kept commented:
#
#   war/pipelineskills/p1-task1<TAB>#473<TAB>stranded by .war-task marker amend; content landed under rewritten SHA
#   war/memsub/p1-task1<TAB>#496<TAB>held-escalation manual completion; tips carry a Revert divergence
#   war/compaction/p1-task2<TAB>#508<TAB>stranded original; equivalent verified f473f89
#   war/followup444/p1-task2<TAB>#455<TAB>pre-rebase duplicate of merged 3796d06
#   claude/frosty-moser-46e719<TAB>-<TAB>session remote with no per-branch merged PR
#
# remote_ref	landed_pr	note
#
# --- 2026-07-26 sweep: campaign 2026-07-24-standing-record-and-guard-hardening ---
# Structural cause for every row below: the /war refiner rebases each task branch locally in the
# serial merge queue and never force-pushes, so the remote ref keeps the worker's pre-rebase SHA
# while the rebased tip is what merged. `git cherry origin/master <remote-sha>` returned 0 '+' lines
# for each 2026-07-24 ref (patch-equivalence PROVEN); all 13 were then cleared by a deliberate manual
# `git push origin --delete` in that same sweep, so their rows are provenance, not live gate input —
# the same shape as this file's 2026-07-09 seed note.
war/2026-07-24-land-advance-exit-contract-truth/p1-1.2	#1097	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-land-advance-exit-contract-truth/p1-1.3	#1097	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-runbook-and-standing-record-coherence/p1-1.4	#1109	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-runbook-and-standing-record-coherence/p1-1.5	#1109	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-runbook-and-standing-record-coherence/p1-1.6	#1109	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-recovery-re-merge-dispatch-coherence/p1-1.2	#1117	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-drift-guard-and-floor-diagnostic-hardening/p1-1.3	#1126	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-drift-guard-and-floor-diagnostic-hardening/p1-1.4	#1126	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-gate-evidence-and-release-integrity/p1-1.2	#1139	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-gate-evidence-and-release-integrity/p1-1.3	#1139	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-gate-evidence-and-release-integrity/p1-1.4	#1139	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-memory-tooling-hardening/p1-1.2	#1149	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
war/2026-07-24-memory-tooling-hardening/p1-1.3	#1149	0-'+' via git cherry vs origin/master, 2026-07-26; cleared from origin same sweep
#
# --- 2026-07-22-lessons-learned-seed: OPERATOR-ACKNOWLEDGED, not probe-proven ---
# These four still live on origin. `git cherry` returned 1-2 '+' lines each (commits 706da67 #1006 and
# a2ed4b8 #1009), so patch-equivalence is NOT PROVEN and the probe alone would leave them needs-human.
# The justification here is operator-supplied, not probe-derived: both commits have same-subject,
# same-issue counterparts on master (7e62a0a #1006, 0d65b14 #1009) with different patch-ids —
# the signature of a conflict-resolved rebase or squash, which legitimately changes patch-id.
